Incidence Rate Report for United States by County

"Ovary, 2011-2015"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Otsego County, New York(6,10)",36077,***,15.3 ,10, 22.5,6,stable,15.6 ,-22.4, 72.4
"Ross County, Ohio(6,10)",39141,***,15.2 ,10.4, 21.6,7,stable,-2.6 ,-44.0, 69.6
"Greene County, New York(6,10)",36039,***,15.2 ,9.8, 23,5,stable,-4.6 ,-45.2, 65.9
"Cape May County, New Jersey(7,8)",34009,***,15.2 ,11.4, 20.1,12,stable,-0.8 ,-2.4, 0.9
"Queen Annes County, Maryland(6,10)",24035,***,15.2 ,9.6, 23.1,5,stable,2.9 ,-14.2, 23.3
"Cherokee County, South Carolina(6,10)",45021,***,15.2 ,9.8, 22.5,5,stable,-20.0 ,-45.7, 17.8
"Oktibbeha County, Mississippi(6,10)",28105,***,15.1 ,8.5, 25,3,*,*,*,*
"James City County, Virginia(6,10)",51095,***,15.1 ,10.4, 21.5,8,stable,-8.7 ,-41.1, 41.4
"Rutland County, Vermont(6,10)",50021,***,15.1 ,9.9, 22.4,6,stable,-10.0 ,-39.0, 33.0
"Hancock County, Maine(6,10)",23009,***,15.1 ,10, 22.3,6,stable,-10.1 ,-40.0, 34.9
"Worcester County, Maryland(6,10)",24047,***,15.1 ,9.5, 23.1,6,stable,10.1 ,-26.1, 63.9
"Troup County, Georgia(7,8)",13285,***,15.1 ,10.3, 21.5,6,stable,1.6 ,-2.6, 6.0
"Cattaraugus County, New York(6,10)",36009,***,15.1 ,10.6, 21,8,stable,-8.9 ,-35.1, 27.9
"Cabell County, West Virginia(6,10)",54011,***,15.1 ,10.9, 20.4,10,stable,-4.4 ,-18.2, 11.7
"Whitley County, Indiana(6,10)",18183,***,15 ,8.6, 24.9,3,*,*,*,*
"Lee County, Illinois(6,10)",17103,***,15 ,8.3, 25.3,3,*,*,*,*
"Roane County, Tennessee(6,10)",47145,***,15 ,9.7, 22.5,6,stable,-23.8 ,-65.5, 68.5
"Calaveras County, California(7,8)",06009,***,15 ,8.6, 24.5,5,stable,1.5 ,-4.0, 7.3
"Kaufman County, Texas(6,10)",48257,***,15 ,10.8, 20.2,9,stable,-1.5 ,-31.7, 42.1
"Muskogee County, Oklahoma(6,10)",40101,***,15 ,10.1, 21.4,6,stable,13.3 ,-31.1, 86.1
"San Benito County, California(7,8)",06069,***,15 ,9.4, 22.7,5,stable,-0.2 ,-6.2, 6.2
"Delaware County, Indiana(6,10)",18035,***,14.9 ,11.2, 19.7,11,stable,-9.4 ,-35.2, 26.6
"Tift County, Georgia(7,8)",13277,***,14.9 ,8.7, 23.9,4,stable,0.1 ,-4.5, 4.9
"Wapello County, Iowa(7)",19179,***,14.9 ,8.2, 24.9,3,*,*,*,*
"Sangamon County, Illinois(6,10)",17167,***,14.8 ,11.9, 18.2,20,stable,-0.3 ,-31.1, 44.5
"Northampton County, Pennsylvania(6,10)",42095,***,14.8 ,12.4, 17.5,29,stable,1.1 ,-14.1, 19.0
"Dane County, Wisconsin(6,10)",55025,***,14.8 ,12.7, 17,41,stable,4.1 ,-29.0, 52.4
"Tangipahoa Parish, Louisiana(7,8)",22105,***,14.8 ,10.9, 19.5,10,rising,4.3 ,1.0, 7.8
"Fannin County, Texas(6,10)",48147,***,14.7 ,8.3, 24.7,3,*,*,*,*
"Sussex County, Delaware(6,10)",10005,***,14.7 ,11.9, 18,23,stable,-12.3 ,-47.8, 47.3
"Anchorage Borough, Alaska(6,10)",02020,***,14.7 ,11.8, 18,20,stable,-8.5 ,-19.1, 3.4
"Marion County, West Virginia(6,10)",54049,***,14.6 ,9.3, 22,5,stable,6.8 ,-25.1, 52.3
"Harrison County, West Virginia(6,10)",54033,***,14.6 ,10, 20.8,7,stable,3.6 ,-38.2, 73.6
"Chemung County, New York(6,10)",36015,***,14.6 ,10.5, 19.9,9,stable,-7.0 ,-25.1, 15.5
"Lee County, Alabama(6,10)",01081,***,14.5 ,10.7, 19.3,10,stable,2.1 ,-15.6, 23.5
"Sullivan County, New York(6,10)",36105,***,14.5 ,9.9, 20.7,7,stable,13.3 ,-36.6, 102.3
"Preble County, Ohio(6,10)",39135,***,14.5 ,8.6, 23.3,4,stable,19.3 ,-52.1, 196.6
"Windham County, Vermont(6,10)",50025,***,14.5 ,8.8, 22.8,4,stable,-15.6 ,-54.5, 56.7
"Garland County, Arkansas(6,10)",05051,***,14.5 ,10.5, 19.6,10,stable,-5.2 ,-16.5, 7.7
"Fayette County, Georgia(7,8)",13113,***,14.5 ,10.4, 19.6,10,stable,0.4 ,-4.5, 5.5
"Isabella County, Michigan(6,10)",26073,***,14.5 #  ,9, 22.1,4,stable,-9.1 ,-47.7, 58.3
"Montgomery County, Pennsylvania(6,10)",42091,***,14.4 ,13, 16,77,stable,-1.1 ,-7.7, 6.0
"Morgan County, Alabama(6,10)",01103,***,14.4 ,10.7, 18.9,11,stable,-2.3 ,-24.9, 27.1
"Henry County, Illinois(6,10)",17073,***,14.4 ,8.9, 22.1,5,stable,-9.4 ,-40.8, 38.7
"Lincoln County, Tennessee(6,10)",47103,***,14.4 ,8.2, 23.9,3,*,*,*,*
